date,open,high,low,close,volume,Name
2013-02-11,65.4,65.44,64.71,65.21,1066929,DLR
2013-02-11,54.65,54.98,54.59,54.75,6358524,DIS
2013-02-11,37.55,37.66,36.86,37.11,1349813,DISH
2013-02-11,64.73,64.98,63.88,64.31,371586,DISCK
2013-02-11,71.45,72.1,70.61,70.95,1415126,DISCA
2013-02-11,60.78,60.83,60.33,60.68,1867926,DHR
2013-02-11,23.12,23.45,22.89,22.92,4342054,DHI
2013-02-11,45.85,45.93,45.49,45.75,2223629,DG
2013-02-11,58.59,58.73,57.92,57.93,827475,DGX
2013-02-11,39.78,40.29,39.675,40.03,3729944,DFS
2013-02-11,92.86,93.45,92.63,93.23,1768934,DE
2013-02-11,14.66,14.9,14.61,14.69,7583776,DAL
2013-02-11,42.66,43.4,42.49,43.15,23459618,C
2013-02-11,96.13,96.62,95.08,96.52,638630,CXO
2013-02-11,115.68,115.84,115.01,115.64,3766225,CVX
2013-02-11,51.25,51.4,51.17,51.24,3992289,CVS
2013-02-11,72.73,73.09,72.04,72.4,1466296,CTXS
2013-02-11,39.27,39.325,38.495,38.56,3191766,CTSH
2013-02-11,41.29,41.59,41.27,41.51,3009444,CTL
2013-02-11,42.96,43.72,42.82,43.23,783204,CTAS
2013-02-11,22.35,22.74,22.26,22.65,15487826,CSX
2013-02-11,21.24,21.34,21.15,21.27,33551332,CSCO
2013-02-11,42.705,42.8125,42.2725,42.6575,5683700,CRM
2013-02-11,37.97,38.33,37.9625,38.12,2014284,CPB
2013-02-11,102.87,102.94,101.76,101.99,1457384,COST
2013-02-11,57.94,57.94,57.53,57.59,19329629,COP
2013-02-11,104.09,104.74,103.75,104.05,141705,COO
2013-02-11,60.27,60.38,59.96,60.22,598029,COL
2013-02-11,27.405,27.405,26.915,27.33,2381942,COG
2013-02-11,57.02,57.08,56.33,56.55,3865901,COF
2013-02-11,20.91,20.97,20.8,20.92,3130021,CNP
2013-02-11,22.95,22.995,21.985,22.25,1268902,CNC
2013-02-11,25.65,25.71,25.62,25.67,1859388,CMS
2013-02-11,118.8,119.99,118.53,119.26,1055455,CMI
2013-02-11,320.97,325.64,320.11,323.56,453220,CMG
2013-02-11,57.36,57.73,56.61,56.93,1936568,CME
2013-02-11,19.365,19.385,19.195,19.32,14686296,CMCSA
2013-02-11,34.72,35.25,34.71,35.06,2061452,CMA
2013-02-11,54.08,54.48,53.815,54.145,3744070,CL
2013-02-11,80.52,80.74,80.1614,80.5,719984,CLX
2013-02-11,61.91,61.94,61.18,61.83,1486518,CI
2013-02-11,44.51,44.7,44.37,44.6,545729,CINF
2013-02-11,80.56,80.56,79.18,79.31,365140,CHTR
2013-02-11,59.7,59.9,59.19,59.34,1939307,CHRW
2013-02-11,20.17,20.2675,19.92,20.05,7734603,CHK
2013-02-11,30.0,30.065,29.805,29.815,1053104,CHD
2013-02-11,45.242,45.466,44.86,45.124,1679985,CF
2013-02-11,44.05,44.05,43.265,43.75,1109726,CERN
2013-02-11,50.435,50.78,49.675,49.97,6359528,CELG
2013-02-11,14.1799,14.27,14.09,14.22,3221848,CDNS
2013-02-11,38.79,38.88,38.56,38.72,4202308,CCL
